feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5219999999999999,0.018457157599876185,0.6083333333333333,0.3953698476155599
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5143333333333333,0.01307244770075173,0.6083333333333333,0.32588569323221844
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.509,0.010708252269472682,0.6083333333333333,0.24839266141255698
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.49666666666666665,0.02023747898221407,0.5633333333333334,0.40574463208516437
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5156666666666666,0.015542057635833035,0.6083333333333333,0.36271238327026367
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5146666666666667,0.016006942938057305,0.6083333333333333,0.3810184796651204
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.514,0.016062378404209026,0.6083333333333333,0.38061149915059406
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.515,0.015577761927397243,0.6083333333333333,0.36357545852661133
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.515,0.015577761927397243,0.6083333333333333,0.37180018424987793
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5146666666666667,0.016006942938057305,0.6083333333333333,0.35158562660217285
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5146666666666667,0.015542057635833035,0.6083333333333333,0.36363013585408527
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5153333333333333,0.015965240019770743,0.6083333333333333,0.3727782567342122
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.515,0.015937377450509244,0.6083333333333333,0.3941442171732585
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5196666666666667,0.014636332266733446,0.5883333333333334,0.9280820687611898
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5273333333333333,0.015369522511198018,0.5716666666666667,0.9559571743011475
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5603333333333333,0.0009428090415820641,0.64,1.2938345273335774
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.49133333333333334,0.011785113019775804,0.6083333333333333,0.9960172971089681
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.513,0.0312089730686545,0.6033333333333334,0.8761610984802246
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5636666666666666,0.0024944382578492566,0.6466666666666666,1.3071378072102864
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5186666666666667,0.01724979871058083,0.6083333333333333,0.9036712646484375
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5206666666666666,0.01488474237451075,0.5283333333333333,1.2636338869730632
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.01, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5619999999999999,0.004546060565661907,0.6316666666666667,1.3749820391337078
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5076666666666667,0.023697163449568317,0.5516666666666666,0.7408684094746908
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.511,0.02031419864692347,0.5499999999999999,1.1602544784545898
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5116666666666667,0.009533566430716737,0.6083333333333333,1.207538366317749
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.49266666666666664,0.016110727964792775,0.5233333333333333,0.7574893633524576
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.49,0.0094162979278837,0.6083333333333333,1.0046569506327312
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.49433333333333335,0.011115554667022054,0.5483333333333333,1.4114171663920085
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.49033333333333334,0.00895668589502961,0.5333333333333333,0.776854674021403
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5123333333333333,0.022881336402307374,0.5583333333333333,0.8610955079396566
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'logistic', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.4803333333333333,0.01381625451737513,0.6083333333333333,0.8745415210723877
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5573333333333333,0.002867441755680878,0.64,0.39667002360026044
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5573333333333333,0.0012472191289246482,0.6383333333333333,0.372761329015096
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5576666666666666,0.0020548046676563273,0.6383333333333333,0.3731043338775635
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5573333333333333,0.0020548046676563273,0.6383333333333333,0.37069034576416016
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5579999999999999,0.0021602468994692888,0.6383333333333333,0.3826189835866292
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.001, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5566666666666668,0.0012472191289246482,0.64,0.3374953269958496
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5566666666666668,0.0020548046676563273,0.6383333333333333,0.4057643413543701
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate_init': 0.01, 'max_iter': 500}",1,0.5573333333333333,0.0012472191289246482,0.64,0.36651158332824707
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate_init': 0.1, 'max_iter': 500}",1,0.5576666666666666,0.0009428090415820641,0.6383333333333333,0.37065641085306805
Ranking,{'threshold': -Infinity},MLPClassifier,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500}",1,0.5579999999999999,0.00637704215656964,0.6383333333333333,2.448456128438314
